CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;LONGITUD;LATITUD;TITULARIDAD;CIF;COMARCA
46036839;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANT BLAI;CEIP SANT BLAI;PÚB.;CL;CULLERA;S/N;46613;LLAURÍ;VALÈNCIA;962542238;; 1,0;-0.332009;39.145717;GENERALITAT VALENCIANA;S4600330G;LA RIBERA BAIXA
46036840;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;ESPAI NATURAL;CENTRE PRIV. ED. INF. 1ER CICLE ESPAI NATURAL;PRIV.;CL;FRAY PEDRO PONCE DE LEÓN;7;46006;VALÈNCIA;VALÈNCIA;679777989;; 1,0;-0.361562;39.457914;;;VALÈNCIA
46036852;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANCHIS GUARNER;CEIP SANCHIS GUARNER;PÚB.;CL;SANCHIS GUARNER;S/N;46668;LLOCNOU D'EN FENOLLET;VALÈNCIA;628691582;; 1,0;-0.467294;39.012371;GENERALITAT VALENCIANA;S4600331E;LA COSTERA
46036864;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MARE DE DÉU DEL SOCORRO;CEIP MARE DE DÉU DEL SOCORRO;PÚB.;CL;RAMÓN BENEYTO;1;46816;ROTGLÀ I CORBERÀ;VALÈNCIA;962249820;; 1,0;-0.562738;39.006054;GENERALITAT VALENCIANA;Q4601490H;LA COSTERA
46036876;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCOLA PRIVADA DE MÚSICA;PRIV.;CL;GENERAL VILLAESCUSA;1;46667;BARXETA;VALÈNCIA;616818625;; 1,0;-0.417594;39.022378;;;LA COSTERA
46036888;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PIRATAS;CENTRE PRIV. ED. INF. 1ER CICLE PIRATAS;PRIV.;PZ;POETA SALVADOR RUEDA;6;46015;VALÈNCIA;VALÈNCIA;;; 1,0;-0.388376;39.486644;;;VALÈNCIA
46036891;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;EMURAF;ESCOLA PRIVADA DE MÚSICA  EMURAF;PRIV.;CL;JOAN SILVESTRE;1;46666;RAFELGUARAF;VALÈNCIA;679262549;; 1,0;-0.454737;39.051944;;;LA RIBERA ALTA
46036906;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCOLA PRIVADA DE MÚSICA;PRIV.;CL;VILANOVA DE CASTELLÓ;2;46135;ALBALAT DELS SORELLS;VALÈNCIA;659195960;; 1,0;-0.34785;39.544722;;;L'HORTA NORD
46036918;CENTRO DOCENTE PRIVADO EXTRANJERO;CENTRE DOCENT PRIVAT ESTRANGER;VALENCIA MONTESSORI SCHOOL;CENTRE ESTRANGER VALENCIA MONTESSORI SCHOOL;PRIV.;AV;PÍO BAROJA;3;46015;VALÈNCIA;VALÈNCIA;675095586;; 1,0;-0.407052;39.478142;;;VALÈNCIA
46036921;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;KIDDY LOVE;CENTRE PRIV. ED. INF. 1ER CICLE KIDDY LOVE;PRIV.;CL;PERE MARTÍNEZ MOLLA;2;46800;XÀTIVA;VALÈNCIA;605981211;; 1,0;-0.511252;38.989914;;;LA COSTERA
46036955;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;SANTA CECILIA DEL GRAU;ESCOLA PRIVADA DE MÚSICA SANTA CECILIA DEL GRAU;PRIV.;CL;ISAAC PERAL;23;46024;VALÈNCIA;VALÈNCIA;678761412;; 1,0;-0.338998;39.459451;;;VALÈNCIA
46036967;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;CF FOLGADO-PORT;CENTRE PRIVAT FP CF FOLGADO-PORT;PRIV.;CM;ACC. DÁRSENA EMBARC. MENORES PUERTO VCIA;S/N;46024;VALÈNCIA;VALÈNCIA;963976605;; 1,0;-0.33215;39.459798;;;VALÈNCIA
46036979;CENTRO DOCENTE PRIVADO EXTRANJERO;CENTRE DOCENT PRIVAT ESTRANGER;IMAGINE MONTESSORI SCHOOL;CENTRE ESTRANGER IMAGINE MONTESSORI SCHOOL;PRIV.;CL;MELISSA;46;46980;PATERNA;VALÈNCIA;963145102;; 1,0;-0.435169;39.5141;;;L'HORTA OEST
46036402;CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS;CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS;GM FOOTBALL ACADEMY;CENTRE ENSENYAMENTS ESPORTIUS GM FOOTBALL ACADEMY;PRIV.;CL;SALAMANCA;55;46005;VALÈNCIA;VALÈNCIA;610824781;; 1,0;-0.362345;39.463648;;;VALÈNCIA
46036414;ESCUELA OFICIAL DE IDIOMAS;ESCOLA OFICIAL D'IDIOMES;VALÈNCIA-BENICALAP;ESCOLA OFICIAL D'IDIOMES VALÈNCIA-BENICALAP;PÚB.;CL;DOCTOR NICASIO BENLLOCH;130;46025;VALÈNCIA;VALÈNCIA;963189835;; 1,0;-0.399775;39.495661;GENERALITAT VALENCIANA;S4600325G;VALÈNCIA
46036426;ESCUELA OFICIAL DE IDIOMAS;ESCOLA OFICIAL D'IDIOMES;DE PATERNA;ESCOLA OFICIAL D'IDIOMES DE PATERNA;PÚB.;CL;SANTAS JUSTAS Y RUFINA;3;46980;PATERNA;VALÈNCIA;962542300;; 1,0;-0.452889;39.507442;GENERALITAT VALENCIANA;S4600323B;L'HORTA OEST
46036463;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;HOME SCHOOL INTERNACIONAL;CENTRE PRIVAT HOME SCHOOL INTERNACIONAL;PRIV.;RD;AUGUSTE Y LOUIS LUMIÈRE;12;46980;PATERNA;VALÈNCIA;960883148;; 1,0;-0.468477;39.550752;;;L'HORTA OEST
46036475;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;GARABATOS 2;CENTRE PRIV. ED. INF. 1ER CICLE GARABATOS 2;PRIV.;CL;TORRENT;14;46910;SEDAVÍ;VALÈNCIA;655700460;; 1,0;-0.38776;39.427647;;;L'HORTA SUD
46036505;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;MARCELINO OLAECHEA ALZIRA;CENTRE PRIVAT FP MARCELINO OLAECHEA ALZIRA;PRIV.;CL;ADRIÁN CAMPOS SUÑER;6;46600;ALZIRA;VALÈNCIA;963637412;; 1,0;-0.437407;39.157748;;;LA RIBERA ALTA
46036530;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;CENTRO INSTRUCTIVO MUSICAL TENDETES;ESCOLA PRIVADA DE MÚSICA C. INSTRUCTIVO MUSICAL TENDETES;PRIV.;CL;JOAQUÍN BALLESTER;27-7;46009;VALÈNCIA;VALÈNCIA;635430867;; 1,0;-0.388493;39.483596;;;VALÈNCIA
46036566;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;LA LIRA DE CHULILLA;ESCUELA PRIVADA DE MÚSICA LA LIRA DE CHULILLA;PRIV.;CL;LAS ERAS;6;46167;CHULILLA;VALÈNCIA;609743669;; 1,0;-0.891487;39.656079;;;LA SERRANÍA
46036578;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;MESTRE ESTEBAN ESTEVE;ESCOLA PRIVADA DE MÚSICA MESTRE ESTEBAN ESTEVE;PRIV.;CL;DELS JOCS;S/N;46114;VINALESA;VALÈNCIA;961495956;; 1,0;-0.370477;39.539118;;;L'HORTA NORD
46036581;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCUELA PRIVADA DE MÚSICA;PRIV.;PZ;FLORENTINA MÁÑEZ LÁZARO;1;46172;ALCUBLAS;VALÈNCIA;606745664;; 1,0;-0.702842;39.797424;;;LA SERRANÍA
